init_x,init_y,init_z,init_j1,init_j2,init_j3,init_j4,init_j5,init_j6,tgt_x,tgt_y,tgt_z,tgt_j1,tgt_j2,tgt_j3,tgt_j4,tgt_j5,tgt_j6,contact_flag,contact_x,contact_y,contact_z,contact_j1,contact_j2,contact_j3,contact_j4,contact_j5,contact_j6,contact_orient_x_deg,contact_type,sensor_contact_side,sensor_contact_x,sensor_contact_y,sensor_contact_z,sensor_contact_j1,sensor_contact_j2,sensor_contact_j3,sensor_contact_j4,sensor_contact_j5,sensor_contact_j6
0.380032,-0.006440,0.477825,-0.152691,-0.333648,-0.620596,-0.461354,-0.551266,-2.711655,0.530698,0.027322,0.435648,0.030290,0.222239,-1.093428,-0.096050,-0.591469,-3.011675,1,0.441784,0.007398,0.460538,-0.043499,-0.098545,-0.782596,-0.229073,-0.590820,-2.908457,14.841331,M,left,0.441784,-0.002602,0.460538,-0.085181,-0.095478,-0.788716,-0.302776,-0.596333,-2.851522
0.324378,0.026333,0.448067,0.075151,-0.514098,-0.368943,-0.016323,-0.577697,-3.072833,0.575251,0.011317,0.458594,-0.026727,0.331957,-1.323094,-0.240060,-0.480694,-2.884120,1,0.440912,0.019358,0.452957,0.009142,-0.089883,-0.765040,-0.130427,-0.609446,-2.986692,-8.804781,L,right,0.440912,0.029358,0.452957,0.051219,-0.089214,-0.764808,-0.057316,-0.607370,-3.042078
0.339645,0.028729,0.441412,0.084769,-0.433225,-0.406994,0.001109,-0.620462,-3.086344,0.580941,0.051269,0.437736,0.090557,0.380495,-1.325239,0.012966,-0.515971,-3.096079,1,0.487976,0.042585,0.439152,0.089102,0.087652,-0.927320,0.008508,-0.621030,-3.091882,36.807570,S,left,0.487976,0.032585,0.439152,0.054428,0.085484,-0.924771,-0.050663,-0.621954,-3.047617
0.344083,-0.002849,0.466886,-0.161061,-0.455524,-0.487559,-0.467960,-0.564289,-2.709624,0.487189,-0.018050,0.492962,-0.148855,0.017854,-1.031590,-0.502023,-0.497049,-2.662242,1,0.404151,-0.009230,0.477831,-0.145815,-0.246011,-0.698736,-0.442527,-0.557369,-2.729084,16.406075,M,right,0.404151,0.000770,0.477831,-0.096031,-0.252178,-0.687434,-0.349692,-0.546573,-2.803671
0.325821,0.010154,0.492848,-0.146397,-0.574273,-0.490305,-0.546781,-0.451964,-2.610538,0.535605,0.041064,0.462189,0.070824,0.200424,-1.146887,-0.026863,-0.514364,-3.063599,1,0.458115,0.029646,0.473514,0.046301,-0.066146,-0.855757,-0.073168,-0.539880,-3.026915,-38.367375,L,right,0.458115,0.039646,0.473514,0.088399,-0.064057,-0.857676,0.008286,-0.538963,-3.092151
0.378792,0.020558,0.512368,-0.017993,-0.397069,-0.661397,-0.254827,-0.413585,-2.862715,0.487397,0.053146,0.443179,0.126126,0.082613,-0.934465,0.072918,-0.609981,-3.140660,1,0.416715,0.031937,0.488208,0.066707,-0.228039,-0.733382,-0.036136,-0.499519,-3.055720,-30.959249,S,right,0.416715,0.041937,0.488208,0.120899,-0.224628,-0.737028,0.076275,-0.500174,3.134787
0.366278,0.014203,0.518334,-0.096600,-0.444798,-0.655013,-0.476904,-0.399705,-2.661530,0.489556,0.010522,0.434247,-0.020942,0.098451,-0.926967,-0.175667,-0.638963,-2.955670,1,0.416819,0.012694,0.483861,-0.034246,-0.220969,-0.731108,-0.238403,-0.520111,-2.890846,-6.383240,L,right,0.416819,0.022694,0.483861,0.018021,-0.222267,-0.726832,-0.133637,-0.515173,-2.976389
0.294437,0.015938,0.439717,-0.026165,-0.634704,-0.266769,-0.204744,-0.568066,-2.924498,0.565877,0.030047,0.455304,0.030965,0.304668,-1.270377,-0.110894,-0.497397,-2.993861,1,0.408600,0.021872,0.446272,0.024497,-0.186226,-0.641960,-0.100046,-0.634691,-3.011471,-32.589038,S,right,0.408600,0.031872,0.446272,0.071906,-0.184799,-0.642737,-0.020515,-0.633237,-3.070329
0.344454,0.013729,0.475038,-0.049435,-0.479258,-0.484456,-0.273520,-0.511994,-2.860532,0.575415,0.006897,0.435620,-0.033527,0.362957,-1.296772,-0.229768,-0.537741,-2.900359,1,0.485379,0.009560,0.450986,-0.028380,0.057363,-0.930892,-0.200159,-0.595783,-2.931661,-26.848079,M,left,0.485379,-0.000440,0.450986,-0.063757,0.059471,-0.935526,-0.262513,-0.599546,-2.883705
0.310938,0.003537,0.465249,-0.173713,-0.594971,-0.389255,-0.522128,-0.533009,-2.654623,0.505267,0.016069,0.468135,-0.010045,0.094096,-1.030280,-0.185428,-0.531531,-2.935663,1,0.431857,0.011335,0.467045,-0.030315,-0.143239,-0.755408,-0.211376,-0.571501,-2.919688,-33.720659,L,left,0.431857,0.001335,0.467045,-0.074839,-0.140459,-0.761281,-0.292446,-0.577197,-2.856129
0.324839,0.027026,0.532470,0.096905,-0.632338,-0.543779,0.045229,-0.284831,-3.127506,0.533077,0.013414,0.515177,-0.041546,0.134059,-1.230267,-0.339349,-0.383545,-2.783149,1,0.425880,0.020421,0.524079,-0.018825,-0.238416,-0.837690,-0.267490,-0.396731,-2.849375,11.721195,S,right,0.425880,0.030421,0.524079,0.047068,-0.239600,-0.831167,-0.096638,-0.391485,-3.000254
0.359759,-0.002082,0.489217,-0.167285,-0.426676,-0.585063,-0.534733,-0.506525,-2.636081,0.496760,-0.010249,0.483300,-0.111214,0.054952,-1.039317,-0.406559,-0.509565,-2.747918,1,0.416133,-0.005443,0.486782,-0.127368,-0.219149,-0.751656,-0.427428,-0.527384,-2.734303,0.485789,S,right,0.416133,0.004557,0.486782,-0.078059,-0.224617,-0.740705,-0.330387,-0.517454,-2.813966
0.332273,0.022697,0.436584,0.044409,-0.454143,-0.375623,-0.066848,-0.631894,-3.035947,0.558385,0.018671,0.436287,0.001143,0.306951,-1.215330,-0.156351,-0.557417,-2.961743,1,0.470219,0.020241,0.436403,0.013497,0.034054,-0.853129,-0.116976,-0.644622,-2.999696,14.599164,L,right,0.470219,0.030241,0.436403,0.049901,0.034814,-0.853341,-0.056749,-0.642863,-3.043869
0.376977,-0.010300,0.437108,-0.138677,-0.269891,-0.538812,-0.356434,-0.680703,-2.828948,0.492610,-0.016728,0.465894,-0.125266,0.066828,-0.998708,-0.397860,-0.562360,-2.767443,1,0.425237,-0.012982,0.449122,-0.128702,-0.125954,-0.721374,-0.358203,-0.641950,-2.818151,-23.592237,S,left,0.425237,-0.022982,0.449122,-0.169644,-0.119770,-0.731432,-0.424896,-0.650093,-2.768537
0.332609,0.010657,0.438096,-0.045382,-0.455006,-0.382888,-0.218606,-0.633306,-2.922746,0.530549,0.015032,0.489060,-0.021657,0.149989,-1.167502,-0.241572,-0.454060,-2.879374,1,0.426307,0.012728,0.462221,-0.022705,-0.154314,-0.728000,-0.192709,-0.586316,-2.936263,-22.991708,M,left,0.426307,0.002728,0.462221,-0.067786,-0.151860,-0.733214,-0.273019,-0.591670,-2.874116
0.292160,0.017850,0.439053,-0.003710,-0.645211,-0.257269,-0.163851,-0.563846,-2.956428,0.529061,0.047194,0.499696,0.093813,0.135796,-1.176478,0.023620,-0.420099,-3.106007,1,0.418615,0.033514,0.471424,0.075279,-0.195268,-0.713115,-0.016748,-0.552356,-3.072236,1.738252,S,right,0.418615,0.043514,0.471424,0.124620,-0.191667,-0.717113,0.076669,-0.553126,3.136889
